store_id,store_name,city,state,region,address,pincode,size,opening_date
STR001,FreshMart Mumbai 1,Mumbai,Maharashtra,West,"4 Mall, Mumbai",688389,Large,2019-05-17
STR002,FreshMart Mumbai 2,Mumbai,Maharashtra,West,"95 High Street, Mumbai",507473,Small,2021-10-17
STR003,FreshMart Mumbai 3,Mumbai,Maharashtra,West,"76 Mall, Mumbai",842417,Large,2018-03-07
STR004,FreshMart Mumbai 4,Mumbai,Maharashtra,West,"28 Mall, Mumbai",643962,Small,2020-10-31
STR005,FreshMart Mumbai 5,Mumbai,Maharashtra,West,"72 Mall, Mumbai",608496,Large,2021-08-23
STR006,FreshMart Delhi 1,Delhi,Delhi,North,"29 Commercial Hub, Delhi",871029,Large,2021-04-21
STR007,FreshMart Delhi 2,Delhi,Delhi,North,"98 Mall, Delhi",567414,Medium,2021-11-30
STR008,FreshMart Delhi 3,Delhi,Delhi,North,"36 Standalone, Delhi",563032,Medium,2019-03-17
STR009,FreshMart Delhi 4,Delhi,Delhi,North,"12 Mall, Delhi",798382,Medium,2018-07-18
STR010,FreshMart Delhi 5,Delhi,Delhi,North,"78 Standalone, Delhi",677370,Medium,2018-03-30
STR011,FreshMart Bangalore 1,Bangalore,Karnataka,South,"69 Commercial Hub, Bangalore",530889,Large,2020-02-15
STR012,FreshMart Bangalore 2,Bangalore,Karnataka,South,"81 Standalone, Bangalore",779201,Small,2021-03-28
STR013,FreshMart Bangalore 3,Bangalore,Karnataka,South,"6 Mall, Bangalore",638968,Small,2019-08-16
STR014,FreshMart Bangalore 4,Bangalore,Karnataka,South,"13 High Street, Bangalore",798591,Small,2019-07-24
STR015,FreshMart Bangalore 5,Bangalore,Karnataka,South,"21 Standalone, Bangalore",788162,Medium,2019-12-29
STR016,FreshMart Chennai 1,Chennai,Tamil Nadu,South,"90 Standalone, Chennai",474870,Small,2021-06-01
STR017,FreshMart Chennai 2,Chennai,Tamil Nadu,South,"69 High Street, Chennai",656702,Large,2018-12-01
STR018,FreshMart Chennai 3,Chennai,Tamil Nadu,South,"35 Commercial Hub, Chennai",984004,Medium,2019-03-26
STR019,FreshMart Chennai 4,Chennai,Tamil Nadu,South,"99 Standalone, Chennai",458655,Large,2019-04-15
STR020,FreshMart Chennai 5,Chennai,Tamil Nadu,South,"52 Standalone, Chennai",680746,Small,2018-05-16
STR021,FreshMart Hyderabad 1,Hyderabad,Telangana,South,"28 Standalone, Hyderabad",923481,Small,2020-03-21
STR022,FreshMart Hyderabad 2,Hyderabad,Telangana,South,"19 Commercial Hub, Hyderabad",677746,Large,2018-10-13
